"time_stamp","size","size_on_disk"
1534227462.8793242,800112,15311414933
1534227478.917367,800112,15370383538
1534227416.0744736,800112,15138437439
1534227360.8865118,800112,14930082122
1534227663.3690703,800112,16042631395
1534227367.0924993,800112,14953669744
1534227488.574023,800112,15405764147
1534227724.2892897,800112,16258853616
1534227454.349594,800112,15279964441
1534227237.9233193,800112,14462254317
1534227326.329274,800112,14800349121
1534227655.6489208,800112,16015111898
1534227246.1184545,800112,14493705615
1534227646.8730764,800112,15983662716
1534227725.414158,800112,16262785633
1534227532.2816694,800112,15566945444
1534227348.3908508,800112,14882907036
1534227468.2090914,800112,15331070748
1534227250.2482736,800112,14509430191
1534227341.037952,800112,14855388729
1534227436.2686489,800112,15213133572
1534227664.4604053,800112,16046562802
1534227656.7504947,800112,16019043661
1534227317.0180635,800112,14764965764
1534227533.3449566,800112,15570877079
1534227553.5741627,800112,15645571490
1534227525.9198906,800112,15543357650
1534227590.210346,800112,15779235170
1534227334.7189682,800112,14831801171
1534227270.6971653,800112,14588057021
1534227503.5925834,800112,15460802471
1534227747.83021,800112,16341411037
1534227372.2563758,800112,14973325779
1534227280.8521333,800112,14627370139
1534227374.3146205,800112,14981188421
1534227731.0409207,800112,16282441542
1534227486.4230525,800112,15397902159
1534227649.0840008,800112,15991525172
1534227304.6108902,800112,14717789934
1534227313.9319806,800112,14753172387
1534227406.5989869,800112,15103057276
1534227642.5215478,800112,15967937480
1534227491.7965379,800112,15417558450
1534227548.2452729,800112,15625915881
1534227752.2355025,800112,16357135187
1534227356.7497,800112,14914357288
1534227384.732936,800112,15020501121
1534227453.2792518,800112,15276033320
1534227430.9420297,800112,15193475867
1534227476.7579393,800112,15362520432
1534227228.7543454,800112,14426870555
1534227539.7297978,800112,15594464641
1534227514.21487,800112,15500113633
1534227276.8133292,800112,14611644309
1534227559.9947195,800112,15669158734
1534227726.5260036,800112,16266716942
1534227513.1457784,800112,15496182104
1534227299.3798363,800112,14698133649
1534227309.8056374,800112,14737447077
1534227371.2216957,800112,14969394186
1534227571.7964303,800112,15712403539
1534227713.129307,800112,16219541948
1534227628.3110428,800112,15916829993
1534227368.123927,800112,14957600829
1534227498.2375445,800112,15441146058
1534227245.0972946,800112,14489774388
1534227601.0760934,800112,15818547142
1534227267.6303778,800112,14576261920
1534227617.3953698,800112,15877517023
1534227680.9858072,800112,16105534147
1534227581.5424829,800112,15747784936
1534227511.031067,800112,15488318810
1534227472.4744701,800112,15346795450
1534227570.7307107,800112,15708472224
1534227582.6438696,800112,15751716541
1534227342.0750334,800112,14859319790
1534227609.7068338,800112,15849998084
1534227651.2698805,800112,15999387676
1534227338.878759,800112,14847527093
1534227262.5395246,800112,14556605901
1534227467.1460545,800112,15327139607
1534227364.9985394,800112,14945807096
1534227598.9056098,800112,15810685246
1534227256.3976414,800112,14533018171
1534227268.658719,800112,14580193755
1534227518.478384,800112,15515838043
1534227343.1030982,800112,14863251687
1534227565.363742,800112,15688815203
1534227677.675055,800112,16093740016
1534227380.5930727,800112,15004775781
1534227483.2033765,800112,15386108396
1534227650.1794915,800112,15995456295
1534227405.5673003,800112,15099126049
1534227266.6081011,800112,14572330591
1534227377.5077286,800112,14992982362
1534227426.6812162,800112,15177750457
1534227425.6252637,800112,15173819430
1534227641.4312224,800112,15964005985
1534227501.4545338,800112,15452940273
1534227272.7280545,800112,14595919571
1534227647.9920075,800112,15987594253
1534227547.1817124,800112,15621984476
1534227746.7311764,800112,16337479856
1534227279.8488305,800112,14623438662
1534227594.5459554,800112,15794960616
1534227495.0082633,800112,15429351929
1534227413.9691908,800112,15130574763
1534227688.6977036,800112,16133053648
1534227714.2408626,800112,16223472685
1534227577.238379,800112,15732059642
1534227716.4726017,800112,16231334955
1534227585.9049044,800112,15763510746
1534227586.973852,800112,15767441769
1534227450.058049,800112,15264239935
1534227253.3355591,800112,14521224068
1534227460.7464807,800112,15303552347
1534227401.4195292,800112,15083402119
1534227274.7777233,800112,14603782049
1534227249.22229,800112,14505499030
1534227310.838379,800112,14741378106
1534227339.9812524,800112,14851457848
1534227748.9296336,800112,16345341974
1534227505.73333,800112,15468663983
1534227632.6566763,800112,15932555457
1534227671.0669296,800112,16070151760
1534227378.536737,800112,14996912843
1534227281.8635747,800112,14631301152
1534227286.943818,800112,14650957023
1534227692.0088203,800112,16144847697
1534227759.947618,800112,16384653776
1534227433.0651977,800112,15201338693
1534227666.6640458,800112,16054425890
1534227652.36377,800112,16003318621
1534227519.538573,800112,15519769398
1534227418.1876528,800112,15146299591
1534227597.8062975,800112,15806754231
1534227589.1280935,800112,15775303841
1534227517.4098594,800112,15511906922
1534227415.0204098,800112,15134506078
1534227252.30505,800112,14517292565
1534227383.6956568,800112,15016569928
1534227397.2592006,800112,15067677601
1534227443.6898105,800112,15240652585
1534227403.4927602,800112,15091264151
1534227350.4608781,800112,14890769870
1534227631.5699673,800112,15928624200
1534227362.944654,800112,14937944896
1534227541.8662574,800112,15602327487
1534227520.5981526,800112,15523700613
1534227475.6829712,800112,15358589533
1534227461.8173203,800112,15307483790
1534227573.9680429,800112,15720266015
1534227448.9974625,800112,15260308442
1534227470.3398988,800112,15338933298
1534227496.0791368,800112,15433282964
1534227569.6670995,800112,15704540627
1534227481.0487614,800112,15378245438
1534227473.547194,800112,15350726743
1534227302.5344129,800112,14709927286
1534227259.4435294,800112,14544812058
1534227411.8465428,800112,15122712381
1534227575.0475848,800112,15724197768
1534227700.893393,800112,16176298293
1534227657.8521655,800112,16022974874
1534227366.05386,800112,14949738345
1534227709.7745762,800112,16207748793
1534227399.343676,800112,15075539737
1534227612.985303,800112,15861791875
1534227408.6980433,800112,15110919146
1534227239.9777694,800112,14470117205
1534227693.1105263,800112,16148779170
1534227603.2295036,800112,15826409502
1534227672.1655061,800112,16074083075
1534227608.6316133,800112,15846066873
1534227429.8745737,800112,15189544500
1534227242.0468946,800112,14477980137
1534227621.7479837,800112,15893241789
1534227579.3721616,800112,15739922420
1534227493.9341187,800112,15425420918
1534227531.2185223,800112,15563014039
1534227349.422828,800112,14886838589
1534227273.747277,800112,14599850910
1534227629.3983567,800112,15920761006
1534227515.2781484,800112,15504044668
1534227524.850559,800112,15539425959
1534227308.7489314,800112,14733515636
1534227359.8528128,800112,14926150477
1534227526.9801495,800112,15547289129
1534227551.4530318,800112,15637709434
1534227630.490648,800112,15924692199
1534227306.6791883,800112,14725652726
1534227438.3943129,800112,15220995676
1534227345.177619,800112,14871113301
1534227676.5786557,800112,16089808469
1534227593.4721303,800112,15791029475
1534227699.7875247,800112,16172366396
1534227504.659625,800112,15464733178
1534227761.1518044,800112,16388584795
1534227479.9881873,800112,15374314149
1534227707.552083,800112,16199886869
1534227545.0664861,800112,15614121220
1534227358.820849,800112,14922219408
1534227487.4944546,800112,15401833472
1534227437.3335786,800112,15217064829
1534227728.7579815,800112,16274578720
1534227637.028463,800112,15948280939
1534227459.6626334,800112,15299620920
1534227241.0037992,800112,14474048560
1534227736.7804961,800112,16302097751
1534227271.7157986,800112,14591988224
1534227463.9479516,800112,15315346298
1534227602.1576226,800112,15822478259
1534227318.045654,800112,14768896693
1534227290.0362778,800112,14662750740
1534227662.2740135,800112,16038700436
1534227665.5699048,800112,16050494561
1534227563.2203622,800112,15680952325
1534227297.3145046,800112,14690271049
1534227275.8088186,800112,14607713134
1534227705.3195221,800112,16192023893
1534227315.9760184,800112,14761034755
1534227424.5724695,800112,15169887919
1534227471.404718,800112,15342864381
1534227395.1522424,800112,15059814881
1534227347.295041,800112,14878975407
