"time_stamp","size","size_on_disk"
1534431355.1442106,912,2120155674
1534431355.1442142,912,2120155674
1534431355.1442175,912,2120155674
1534431355.1442208,912,2120155674
1534431355.1442244,912,2120155674
1534431355.1442277,912,2120155674
1534431355.1442313,912,2120155674
1534431355.144235,912,2120155674
1534431355.1442387,912,2120155674
1534431355.1442418,912,2120155674
1534431355.1442454,912,2120155674
1534431355.1442487,912,2120155674
1534431355.1442523,912,2120155674
1534431355.1442556,912,2120155674
1534431355.144259,912,2120155674
1534431355.1442626,912,2120155674
1534431355.144266,912,2120155674
1534431355.1442692,912,2120155674
1534431355.1442728,912,2120155674
1534431355.1442761,912,2120155674
1534431355.1442797,912,2120155674
1534431355.144283,912,2120155674
1534431355.1442866,912,2120155674
1534431355.14429,912,2120155674
1534431355.1442938,912,2120155674
1534431355.1442971,912,2120155674
1534431355.1443007,912,2120155674
1534431355.144304,912,2120155674
1534431355.1443074,912,2120155674
1534431355.144311,912,2120155674
1534431355.1443145,912,2120155674
1534431355.1443179,912,2120155674
1534431355.1443212,912,2120155674
1534431355.1443248,912,2120155674
1534431355.1443284,912,2120155674
1534431355.1443317,912,2120155674
1534431355.1443353,912,2120155674
1534431355.1443388,912,2120155674
1534431355.1443422,912,2120155674
1534431355.1443455,912,2120155674
1534431355.1443493,912,2120155674
1534431355.144353,912,2120155674
1534431355.1443563,912,2120155674
1534431355.1443596,912,2120155674
1534431355.1443632,912,2120155674
1534431355.1443672,912,2120155674
1534431355.1443708,912,2120155674
1534431355.1443741,912,2120155674
1534431355.1443772,912,2120155674
1534431355.144381,912,2120155674
1534431355.1443841,912,2120155674
1534431359.6014564,912,2120178882
1534431359.6014633,912,2120178882
1534431359.6014671,912,2120178882
1534431359.6014707,912,2120178882
1534431359.6014743,912,2120178882
1534431359.601478,912,2120178882
1534431359.6014817,912,2120178882
1534431359.601485,912,2120178882
1534431359.6014886,912,2120178882
1534431359.601492,912,2120178882
1534431359.6014955,912,2120178882
1534431359.601499,912,2120178882
1534431359.6015027,912,2120178882
1534431359.601506,912,2120178882
1534431359.6015093,912,2120178882
1534431359.6015127,912,2120178882
1534431359.6015162,912,2120178882
1534431359.6015198,912,2120178882
1534431359.6015234,912,2120178882
1534431359.6015272,912,2120178882
1534431359.6015306,912,2120178882
1534431359.601534,912,2120178882
1534431359.6015375,912,2120178882
1534431359.6015408,912,2120178882
1534431359.6015444,912,2120178882
1534431359.6015477,912,2120178882
1534431359.6015513,912,2120178882
1534431359.6015546,912,2120178882
1534431359.601558,912,2120178882
1534431359.6015615,912,2120178882
1534431359.601565,912,2120178882
1534431359.6015685,912,2120178882
